YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2018,ALABAMA,AUTAUGA,01,000,64444.91,0.93788,0.98145,56.17,8755.19,0.88116,0.90868,682,16275.34,0.98306,1.02858,160.75,9366.29,1.04064,1.01697,3203.92
2018,ALABAMA,BALDWIN,01,010,67192.53,0.98801,0.97038,118.92,9626.27,0.94524,0.91482,2420.33,17068.41,0.96086,1.00707,652.33,9418.63,1.01102,0.9976,18936.92
2018,ALABAMA,BARBOUR,01,020,70500.03,0.93089,1.04432,61.42,9688.58,0.87833,0.9817,664.67,14205.02,0.88239,1.04112,398.67,9408.11,0.98487,1.04939,1858
2018,ALABAMA,BIBB,01,030,98548.66,1.06663,1.07035,24.83,7466.51,0.84469,0.92432,499.75,16472.3,0.94767,1.02791,209.25,9457.6,1.09452,1.06321,1080.42
2018,ALABAMA,BLOUNT,01,040,68124.1,0.8906,0.98834,29.17,7837.27,0.87799,0.92232,793.25,14254.95,0.87879,1.00759,288.17,10067.81,1.04657,1.02948,3258.08
2018,ALABAMA,BULLOCK,01,050,66419.76,0.99934,1.05554,17.58,8562.99,0.90384,0.99447,183.83,15027.31,0.83425,1.03965,134.25,8793.56,0.95646,1.05559,407.25
2018,ALABAMA,BUTLER,01,060,76784.64,0.92528,1.0165,50.5,8695.39,0.88019,1.02468,654.58,13848.17,0.91991,1.05164,416.58,10040.98,1.07783,1.09123,1523
2018,ALABAMA,CALHOUN,01,070,82452.76,0.96536,0.98841,162.92,8791.69,0.90366,0.97842,3356.5,15281.44,0.88997,1.02297,1107.75,9743.24,1.07159,1.04714,10373.67
2018,ALABAMA,CHAMBERS,01,080,78562,0.96438,1.03739,78.83,8003.48,0.8942,0.96134,1286.58,12817,0.88791,1.02516,610.92,8691.46,1.05484,1.11744,2827.83
2018,ALABAMA,CHEROKEE,01,090,74267.35,0.94638,0.97433,43.83,8701.18,0.90199,0.97286,868.75,14266.37,0.89068,0.99676,322.83,9623.86,1.08958,1.0506,2338.17
2018,ALABAMA,CHILTON,01,100,83838.59,0.88014,0.97198,32,10006.14,0.95777,0.93023,615.83,13280.08,0.88988,0.96296,162.25,10481.14,1.05837,1.02091,2108.08
2018,ALABAMA,CHOCTAW,01,110,100570.33,0.93228,1.03263,28.42,8613.84,0.77411,0.9953,683.5,13777.8,0.79643,1.01281,377.92,10551.38,0.96508,1.12556,1470
2018,ALABAMA,CLARKE,01,120,69786.29,0.98931,1.03014,27.5,6661.39,0.79183,0.94827,644.83,14058.73,0.8114,1.031,310.25,10016.49,0.99324,1.06941,1709.75
2018,ALABAMA,CLAY,01,130,103034.97,0.97475,1.00346,15.08,7303.3,0.83346,0.95026,444.33,13979.95,0.89503,1.05338,246.17,8554.61,0.9811,1.07948,1235.17
2018,ALABAMA,CLEBURNE,01,140,84389.25,1.0958,1.01075,11.83,8938.48,0.86752,0.96332,450.75,15605.7,0.90971,1.02688,226.92,9098.61,1.04716,1.06663,1422.92
2018,ALABAMA,COFFEE,01,150,89059.67,1.00653,1.03137,63,9521.1,0.91408,0.96417,1007.08,12163.09,0.88206,1.03358,537.33,10177.35,1.03509,1.03503,4518.75
2018,ALABAMA,COLBERT,01,160,68820.19,0.93856,1.04179,67.92,9957.01,0.91997,0.99879,1645.25,15657.53,0.87008,1.02119,628.08,9611.29,1.00976,1.07836,5841.75
2018,ALABAMA,CONECUH,01,170,76353.48,0.86709,1.02768,29.25,8233.4,0.80372,0.98935,621,15351.67,0.84633,1.02355,322.92,9517.61,1.02407,1.12474,1169.58
2018,ALABAMA,COOSA,01,180,85540.99,0.92783,1.00528,12.33,8162.25,0.89729,0.95294,348.92,12185.1,0.80605,1.0477,98.67,10589.16,1.0734,1.09558,844.5
2018,ALABAMA,COVINGTON,01,190,90515.31,1.05624,1.0382,58.33,10974.65,0.99331,1.0108,1312.5,15365.58,1.00477,1.03273,804.17,10178.22,1.0903,1.09684,3824.42
2018,ALABAMA,CRENSHAW,01,200,67649.02,0.92392,1.04392,22.25,11293.79,0.95507,1.01443,297.08,13236.52,0.84172,1.00716,199,9265.22,1.05801,1.07433,902.92
2018,ALABAMA,CULLMAN,01,210,66210.5,0.9904,0.99729,67.67,9556.27,0.92718,0.96026,1663.5,17954.5,0.88435,1.01509,794.33,9778.65,1.01743,1.04575,7168.33
2018,ALABAMA,DALE,01,220,78405.78,0.99269,0.99967,54.67,8627.06,0.8753,0.98987,1274.58,14614.69,0.90711,1.02534,532.83,9513.83,1.06492,1.03678,3971.33
2018,ALABAMA,DALLAS,01,230,65512.74,0.96692,1.04687,129.67,7996.08,0.85579,1.03093,1273.83,14617.67,0.91458,1.01373,781,8248.22,1.01559,1.08265,2166.58
2018,ALABAMA,DEKALB,01,240,64514.44,0.95419,0.99896,59.17,8941.27,0.87309,0.96941,1869.75,12927.47,0.87854,1.01551,980.75,9302.78,1.00494,1.05706,5636.83
2018,ALABAMA,ELMORE,01,250,75518.41,0.95222,0.96818,66.17,8975.99,0.87793,0.90466,1097.08,17384.57,0.9692,1.02917,326.58,9252.78,1.00795,0.98969,5340.67
