YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2017,ALABAMA,AUTAUGA,01,000,65979.51,0.99095,0.94384,51.08,9115.31,0.85744,0.89989,780.42,13298.88,0.87624,1.02785,202.58,9709.69,1.02683,1.00575,3213.5
2017,ALABAMA,BALDWIN,01,010,61660.65,0.95848,0.97151,128.25,8886.11,0.93666,0.91261,2650.33,14441.46,0.92635,0.99846,664.83,8804.67,0.99397,0.99548,18573.08
2017,ALABAMA,BARBOUR,01,020,67966.77,0.99771,1.0525,58.33,7924.34,0.86009,1.00646,856.58,12982.98,0.86271,1.03556,540,9212.71,1.01416,1.04664,2014.08
2017,ALABAMA,BIBB,01,030,87061.53,1.05662,1.03531,27.58,7694.37,0.83247,0.92304,561.33,14437.88,0.95866,1.03382,221.33,9211.98,1.05369,1.04787,1137.58
2017,ALABAMA,BLOUNT,01,040,61540.45,0.94905,1.00148,24.83,8142.56,0.90289,0.91979,871.08,16751.44,0.97296,1.01333,336.58,9436.93,1.03659,1.02007,3291.75
2017,ALABAMA,BULLOCK,01,050,56291.82,1.01437,1.0587,18.42,6772.82,0.83996,0.98412,248.75,12062.21,0.82181,1.04422,172.25,7702.59,0.98291,1.0853,430.92
2017,ALABAMA,BUTLER,01,060,60977.01,0.94544,1.01381,41.58,8182.96,0.89341,1.0251,689.58,15784.11,0.89898,1.04661,425.42,9871.53,0.99677,1.08681,1560.42
2017,ALABAMA,CALHOUN,01,070,75511.27,0.97994,0.98616,158.08,8667.24,0.91534,0.97349,3643.92,14894.12,0.91093,1.02585,1223.5,9740.43,1.05434,1.04052,10609.58
2017,ALABAMA,CHAMBERS,01,080,68427.86,0.95149,1.02739,66.5,7340.32,0.91425,0.94902,1403.67,11264.17,0.91181,1.02821,643.5,7940.99,1.04616,1.10741,2985.75
2017,ALABAMA,CHEROKEE,01,090,62527.73,0.92518,0.98137,36.67,8200.78,0.88713,0.96092,961.58,14054.84,0.86647,1.01105,337.08,9223.96,1.06476,1.04055,2426.58
2017,ALABAMA,CHILTON,01,100,72310.53,0.98867,0.97292,39.33,9575.72,0.90668,0.92209,641.75,13527.9,0.92426,1.00783,281.83,10427.1,1.03879,1.01788,2140.67
2017,ALABAMA,CHOCTAW,01,110,71692.34,0.95277,1.0423,26.83,8191.8,0.75968,0.98701,705.42,14354.61,0.79522,1.00562,385.67,9950.38,0.96709,1.12293,1516.42
2017,ALABAMA,CLARKE,01,120,69577.8,1.00312,1.02653,35.42,7293.73,0.79168,0.95015,780.25,12137.94,0.78831,1.02323,370.08,8619.21,0.98859,1.06542,1777.42
2017,ALABAMA,CLAY,01,130,97559.79,1.00762,1.0468,16.67,7054.95,0.81723,0.97438,602.67,12749.5,0.88069,1.05334,342.33,8381.94,0.98808,1.08116,1300.75
2017,ALABAMA,CLEBURNE,01,140,96182.52,1.00355,1.02531,13.17,8657.07,0.85865,0.96849,489.75,16045.47,0.93152,1.0202,229.58,8908.46,1.01346,1.05612,1417
2017,ALABAMA,COFFEE,01,150,69002.12,1.00505,1.02642,72,8140.95,0.86566,0.97577,1288.75,12258.7,0.87259,1.02056,712.42,9152.3,1.00873,1.03548,4706.58
2017,ALABAMA,COLBERT,01,160,61937.67,0.9584,1.04494,72.25,9232.42,0.9467,0.99255,1863.42,14074.33,0.882,1.02248,666.5,9038.4,1.01649,1.07363,5990.58
2017,ALABAMA,CONECUH,01,170,54976.63,0.96049,1.03644,28.75,7595.93,0.78792,0.99621,655.33,14250.25,0.86467,1.03245,338.42,8778.3,1.04362,1.10755,1176.25
2017,ALABAMA,COOSA,01,180,72789.07,0.91136,0.98588,12.75,9086.31,0.87,0.98602,459.42,12353.77,0.85935,1.04025,134,9424.72,1.06625,1.10109,907.83
2017,ALABAMA,COVINGTON,01,190,78193.22,1.00715,1.04162,56.42,10435.39,0.95962,0.99651,1334.58,14842.29,0.92982,1.02763,858.17,9974.2,1.07232,1.09251,3886.75
2017,ALABAMA,CRENSHAW,01,200,63699.9,0.89593,1.03349,20.5,9962.84,0.92612,1.02937,335.42,13678.74,0.83068,1.02146,197.25,8802.49,1.05762,1.05989,906.25
2017,ALABAMA,CULLMAN,01,210,76617.03,0.9722,1.00263,65.17,9389.29,0.94852,0.95836,1830,16788.62,0.92219,1.01919,920.92,9463.28,1.03353,1.0445,7260.33
2017,ALABAMA,DALE,01,220,76104.73,1.03543,1.03054,54.75,8646.47,0.91909,0.99514,1557.67,14092.41,0.93005,1.02631,641.5,10058.48,1.05517,1.03139,4138.25
2017,ALABAMA,DALLAS,01,230,62142.72,0.95868,1.04114,117.25,7423.04,0.88372,1.03446,1554.25,12995.3,0.92054,1.00779,943,8204.42,1.03988,1.07825,2299.67
2017,ALABAMA,DEKALB,01,240,65362.58,0.90062,0.98585,59.5,8244.61,0.85388,0.96366,2066,12838.51,0.84535,1.01109,1022.75,8662.45,0.97813,1.04923,5677.75
2017,ALABAMA,ELMORE,01,250,65894.99,0.90549,0.98094,63.83,9451.58,0.8683,0.91965,1251.08,16333.68,1.0016,1.02604,431.5,8975.75,0.99569,0.9867,5313.75
2017,ALABAMA,ESCAMBIA,01,260,80454.85,1.02937,1.04647,68.75,9668.99,0.93771,0.96819,1040.33,13425.27,0.89546,1.02059,436.75,9798.44,1.03058,1.07077,2992.92
2017,ALABAMA,ETOWAH,01,270,78015.13,1.05507,1.01209,140.08,9629.82,0.98948,0.9758,3290.25,17435.03,1.02033,0.99996,1231.83,10787.95,1.10999,1.06196,7496.83
2017,ALABAMA,FAYETTE,01,280,83817.6,1.00313,1.00796,22.17,8047.27,0.87843,0.95756,653.17,12845.35,0.92771,1.03417,294.67,9876.65,1.10289,1.08499,1492.42
2017,ALABAMA,FRANKLIN,01,290,73575.89,0.95832,1.01961,11.08,8630.14,0.88449,1.00085,1019.33,15259.63,0.85169,1.02384,522.92,9154.93,0.9968,1.08984,2782.42
2017,ALABAMA,GENEVA,01,300,73307.41,1.01055,1.05398,25.92,8425.23,0.93183,0.991,1014.83,13612.58,0.90371,1.01425,570.83,9529.01,1.03282,1.08062,2759.83
2017,ALABAMA,GREENE,01,310,62411.39,0.91667,1.05085,27.83,6823.54,0.74198,1.0168,479.5,12293.5,0.86601,1.00626,267.92,8134.89,0.99853,1.10054,622.25
2017,ALABAMA,HALE,01,320,72140.2,0.99519,1.03231,38.83,6908.81,0.7542,1.00263,916.75,13118.13,0.81564,1.02218,414.67,8111.74,0.99608,1.09664,1187.25
2017,ALABAMA,HENRY,01,330,65443.43,0.99631,1.06559,24.17,8540.85,0.86229,0.97539,557.5,14259.24,0.92195,1.02416,292.33,8664.78,0.98436,1.02904,1662.17
2017,ALABAMA,HOUSTON,01,340,77799.8,1.00129,1.01794,129.92,8605.88,0.92129,0.98078,2574.67,14193.65,0.92817,1.02192,1267.92,9271.62,1.02459,1.0467,8972.25
2017,ALABAMA,JACKSON,01,350,65692.99,0.98969,0.97992,60.75,10247.46,0.92505,0.97185,1655.5,15631.02,0.91612,1.01277,753.08,8853.67,1.01479,1.03483,5288
2017,ALABAMA,JEFFERSON,01,360,66452.13,0.9603,0.96479,777.42,9858.57,0.98426,0.93677,7643.17,18246.48,1.01437,1.0115,2369.5,9642.45,1.01823,1.01068,30902.75
2017,ALABAMA,LAMAR,01,370,70171.61,0.88105,1.05032,14.92,8911.35,0.89124,0.9864,646.08,13790.08,0.90908,1.0426,304.42,8278.41,0.98794,1.08644,1670.08
2017,ALABAMA,LAUDERDALE,01,380,68358.97,1.03619,1.0138,82.75,9038.81,0.91329,0.98541,2353.33,12806.12,0.89707,1.02749,976.83,8243.61,0.99407,1.04798,9624.67
2017,ALABAMA,LAWRENCE,01,390,67191.71,1.00043,0.97652,34,8463,0.94496,0.95403,1153.08,13528.52,0.94839,1.02768,473.42,9105.47,1.04172,1.04075,3158.33
2017,ALABAMA,LEE,01,400,57775.53,0.95949,0.98091,166.25,7083.39,0.88178,0.9361,2617.92,11714.86,0.87371,1.02123,871.67,7928.9,0.97826,1.01843,8121.42
2017,ALABAMA,LIMESTONE,01,410,70552.54,0.9856,0.9811,102.08,10563.52,1.01039,0.94835,1628.33,16159.04,0.91361,1.01508,630.25,9914.23,1.01325,1.0006,6781.42
2017,ALABAMA,LOWNDES,01,420,59384.51,0.92625,0.9986,29.58,7526.21,0.86996,0.99333,218.83,13119.77,0.94862,1.03933,147,8387.83,1.00259,1.01203,477.75
2017,ALABAMA,MACON,01,430,50918.48,0.90056,0.99875,52.58,9539.61,0.9183,0.96111,385.33,12668.89,0.86135,1.00254,228.33,7501.64,1.03276,1.03854,1093.58
2017,ALABAMA,MADISON,01,440,68695.88,0.97731,0.98075,397,9765.36,0.95889,0.94912,4704.25,17416.11,0.93832,1.01779,1767.83,9341.75,1.00014,1.00052,28435.08
2017,ALABAMA,MARENGO,01,450,67371.93,0.96618,1.04565,52.33,8783.22,0.85761,0.99484,939,12431.25,0.896,1.02801,519.75,8713.29,1.00142,1.08136,1734.67
2017,ALABAMA,MARION,01,460,74222.6,0.91963,1.00114,24.83,8886.23,0.84959,0.98435,1259.83,15842.64,0.86406,1.01351,600.92,9328.55,1.0226,1.07745,3319.33
