YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2020,ALABAMA,AUTAUGA,01,000,77708.56,0.95534,0.9518,41,8129.61,0.87915,0.91123,554.25,16729.2,0.83215,1.00688,107.25,9011.15,1.02752,1.01921,3038.75
2020,ALABAMA,BALDWIN,01,010,75993.2,1.01337,0.97586,120.42,8521.42,0.94011,0.91,1914.42,18538.15,0.99442,1.0109,539.17,9384.7,1.006,1.00082,18751.75
2020,ALABAMA,BARBOUR,01,020,80255.12,0.96729,1.01957,56.5,8947.58,0.90079,0.97796,400.33,16702.61,0.94373,1.04395,243.58,8537.52,0.9966,1.05495,1647.5
2020,ALABAMA,BIBB,01,030,81278.52,0.9765,1.03616,26,9356.62,0.93526,0.92764,400.08,17377.71,0.97825,1.0274,174,9088.9,1.07928,1.06849,1004.75
2020,ALABAMA,BLOUNT,01,040,78633.75,1.02948,0.99657,25.75,8354.27,0.90061,0.90384,590.67,14559.5,0.8716,1.01559,221.33,10122.3,1.06387,1.04447,3071.67
2020,ALABAMA,BULLOCK,01,050,70079.73,1.05745,1.05877,18.83,6312.78,0.71959,1.02052,131.5,13747.82,0.83268,1.05436,97.75,7057.12,0.95358,1.03567,332.08
2020,ALABAMA,BUTLER,01,060,93193.75,0.95639,0.99561,40.75,10063.63,0.83845,1.01771,460.33,13478.94,0.85406,1.04645,284.92,8817.55,1.07287,1.10224,1389.83
2020,ALABAMA,CALHOUN,01,070,76598.96,0.97076,0.99404,142.92,8927.15,0.90575,0.9684,2402.25,15529.16,0.94592,1.02018,772.58,9794.74,1.0905,1.04377,9461.42
2020,ALABAMA,CHAMBERS,01,080,71153.44,0.94992,0.99569,61.25,8161.06,0.87951,0.9578,776.58,13642,0.93991,1.03782,400.5,8906.69,1.07464,1.12523,2280.83
2020,ALABAMA,CHEROKEE,01,090,71790.79,0.94823,0.98969,44.42,9481.36,0.84563,0.98206,618,15925.25,0.94015,1.02449,263.67,10305.21,1.06761,1.04663,2213.08
2020,ALABAMA,CHILTON,01,100,74094.58,1.0462,0.94722,28.33,10804.11,0.98854,0.91525,449.08,13456.22,0.885,0.99087,142,10426.38,1.03522,1.02111,2102.33
2020,ALABAMA,CHOCTAW,01,110,74313.75,0.96974,1.00337,27.83,8911.44,0.7638,1.00589,506.92,13555.01,0.85568,1.01009,291.58,8954.11,1.02647,1.13724,1304.42
2020,ALABAMA,CLARKE,01,120,60326.67,1.00167,0.94997,38.92,8321.94,0.82544,0.93794,452.25,13965.57,0.85264,1.01385,191.08,10132.69,1.01066,1.0912,1507.58
2020,ALABAMA,CLAY,01,130,69900.61,1.01202,1.07287,16.08,9224.58,0.81953,0.94713,303.08,14539.84,0.89778,1.04771,188.42,8445.05,0.96649,1.08283,1150.83
2020,ALABAMA,CLEBURNE,01,140,92751.19,1.03784,1.01006,19.58,8213.74,0.85846,0.95872,333.5,17933.24,0.9288,1.04514,180.5,8773.71,1.03444,1.06817,1308.58
2020,ALABAMA,COFFEE,01,150,68939.88,0.9777,1.00879,46.08,9254.1,0.95609,0.95981,759.5,15871.58,0.94567,1.05188,412.33,9011,1.06981,1.03822,4233.75
2020,ALABAMA,COLBERT,01,160,65294.05,0.98735,1.0238,55.58,10105.15,0.95515,0.98224,1135,17133.67,0.92943,1.02366,465.33,9192.53,1.03579,1.08011,5306.5
2020,ALABAMA,CONECUH,01,170,79955.22,0.94565,1.02227,29.42,7351.32,0.77084,0.98089,466,12874.59,0.84204,1.0251,255.42,9207.59,0.99505,1.12919,990.25
2020,ALABAMA,COOSA,01,180,99321.65,0.93532,0.99188,15.92,7153.97,0.82912,0.9395,233.42,10436.42,0.7928,1.03949,65.33,10107.33,1.0856,1.09601,757.83
2020,ALABAMA,COVINGTON,01,190,91492.36,1.11764,1.04336,51.17,11409.2,1.00408,1.00708,885.17,16543.09,1.01138,1.03566,629.5,9562.25,1.12677,1.09904,3421.92
2020,ALABAMA,CRENSHAW,01,200,66923.57,0.81797,0.97657,16.33,8637.09,0.91257,0.99307,206.08,16557.6,0.78846,1.03381,156.08,9180.63,1.05792,1.08509,831.17
