YEAR,STATE_NAME,COUNTY_NAME,STATE_ID,COUNTY_ID,PER_CAPITA_EXP_ESRD,AVG_RISK_SCORE_ESRD,AVG_DEMOG_SCORE_ESRD,PERSON_YEARS_ESRD,PER_CAPITA_EXP_DIS,AVG_RISK_SCORE_DIS,AVG_DEMOG_SCORE_DIS,PERSON_YEARS_DIS,PER_CAPITA_EXP_AGDU,AVG_RISK_SCORE_AGDU,"AVG_DEMOG_SCORE_ AGDU",PERSON_YEARS_AGDU,PER_CAPITA_EXP_AGND,AVG_RISK_SCORE_AGND,AVG_DEMOG_SCORE_AGED/NON-DUAL,PERSON_YEARS_AGND
2021,ALABAMA,AUTAUGA,01,000,63379.66,0.9814,0.98282,29.42,7687.06,0.93094,0.9255,447.92,17652.68,0.91623,1.00797,94.08,10273.64,1.06593,1.04714,2753.08
2021,ALABAMA,BALDWIN,01,010,77207.95,0.98228,1.00365,94.5,9125.15,0.92417,0.92954,1536.17,19226.72,0.98076,1.02053,432.17,10531.73,1.03399,1.02793,17203.08
2021,ALABAMA,BARBOUR,01,020,70710.87,0.96579,1.01313,34.25,11292.05,1.01277,0.99185,306.92,15436.27,0.92314,1.07078,192.42,9833.15,1.01221,1.07913,1348.75
2021,ALABAMA,BIBB,01,030,105923.21,1.11115,1.04053,16.67,8888.78,0.91506,0.94437,276.25,14911.54,0.97958,1.03467,142.58,10562.91,1.1348,1.08986,891.58
2021,ALABAMA,BLOUNT,01,040,78332.88,0.94507,0.99935,17.33,8099.36,0.87602,0.92027,468.25,14418.75,0.89336,1.03414,186.75,10853.33,1.1313,1.06824,2695.25
2021,ALABAMA,BULLOCK,01,050,83167.06,0.83135,1.03934,12.42,6335.02,0.83272,1.02931,97.33,16801.93,0.80829,1.07953,81.42,9131.03,1.0106,1.03934,278.42
2021,ALABAMA,BUTLER,01,060,70175.08,1.04413,1.00859,28.75,9727.13,0.89752,1.0154,344.42,14415.76,0.88137,1.06224,238.08,10384.57,1.10139,1.11085,1217.33
2021,ALABAMA,CALHOUN,01,070,78948.3,1.02974,1.00855,99.75,9340.49,0.90856,0.97541,1817.83,16154.16,0.98908,1.03695,598.25,10864.1,1.14588,1.07131,8266.5
2021,ALABAMA,CHAMBERS,01,080,70540.91,0.91916,1.03913,42.83,8083.27,0.9077,0.97116,600.67,13702.75,0.93454,1.05648,321.75,9943.99,1.13713,1.14559,1950.58
2021,ALABAMA,CHEROKEE,01,090,87751.71,1.19663,0.99711,29.5,8568.23,0.89585,0.98826,463.5,14617.03,0.96974,1.03133,236.42,10600.86,1.12893,1.07125,1906.08
